Date,Open,Close,High,Low,Volume,PB,DivCash
2019-12-10,3.935,3.945,3.985,3.865,16194729,2.48397356,0.0
2019-12-11,3.915,3.965,3.975,3.885,4633862,2.49282908,0.0
2019-12-12,3.935,3.935,3.945,3.895,2247118,2.4795458,0.0
2019-12-13,3.945,3.925,3.945,3.915,1570367,2.47511804,0.0
2019-12-16,3.925,3.915,3.925,3.895,1438749,2.47069028,0.0
2019-12-17,3.915,4.185,4.475,3.895,4561198,2.59023981,0.0
2019-12-18,4.115,4.055,4.175,4.045,2200642,2.53267893,0.0
2019-12-19,4.065,4.075,4.165,4.035,1410280,2.54153445,0.0
2019-12-20,4.085,4.085,4.175,4.055,1762430,2.54596221,0.0
2019-12-23,4.095,4.155,4.215,4.075,1709986,2.57695653,0.0
2019-12-24,4.165,4.135,4.165,4.075,1311897,2.56810101,0.0
2019-12-25,4.115,4.025,4.135,4.015,1568358,2.51939565,0.0
2019-12-26,4.015,4.025,4.025,3.965,1185756,2.51939565,0.0
2019-12-27,4.015,4.075,4.095,4.005,1309059,2.54153445,0.0
2019-12-30,4.045,4.145,4.245,3.995,1789527,2.57252877,0.0
2019-12-31,4.135,4.195,4.215,4.125,1224430,2.59466757,0.0
2020-01-02,4.235,4.265,4.355,4.235,1518237,2.6256619,0.0
2020-01-03,4.265,4.315,4.345,4.185,1364281,2.6478007,0.0
2020-01-06,4.275,4.245,4.305,4.205,884076,2.61680638,0.0
2020-01-07,4.225,4.255,4.275,4.215,534210,2.62123414,0.0
2020-01-08,4.215,4.185,4.225,4.145,921083,2.61355195,0.0
2020-01-09,4.185,4.205,4.215,4.135,616591,2.62248717,0.0
2020-01-10,4.185,4.235,4.255,4.155,694748,2.63589,0.0
2020-01-13,4.205,4.125,4.215,4.095,1734636,2.58674629,0.0
2020-01-14,4.125,4.095,4.125,4.085,1074266,2.57334346,0.0
2020-01-15,4.085,4.035,4.095,4.035,666909,2.5465378,0.0
2020-01-16,4.055,3.975,4.065,3.975,819470,2.51973214,0.0
2020-01-17,3.995,4.005,4.045,3.995,570035,2.53313497,0.0
2020-01-20,4.015,4.055,4.065,4.015,515144,2.55547302,0.0
2020-01-21,4.045,3.995,4.065,3.995,435683,2.52866736,0.0
2020-01-22,3.985,4.045,4.065,3.935,673945,2.55100541,0.0
2020-01-23,4.015,4.005,4.025,3.905,648748,2.53313497,0.0
2020-02-03,3.715,3.835,3.895,3.545,1769614,2.4571856,0.0
