日期,股票,类型,价格,股数,金额,手续费,红利补税
2021-10-11,农业银行,网格买入,1.93,600,1158.00,0.50,0.00
2021-10-11,农业银行,网格卖出,1.96,700,1372.00,1.19,0.00
2021-10-11,中国银行,网格卖出,2.04,600,1224.00,1.11,0.00
2021-10-11,建设银行,网格卖出,4.35,200,870.00,0.93,0.00
2021-10-11,交通银行,网格卖出,2.94,300,882.00,0.94,0.00
2021-10-12,工商银行,网格买入,3.39,200,678.00,0.50,0.00
2021-10-12,工商银行,网格买入,3.37,300,1011.00,0.50,0.00
2021-10-12,农业银行,网格买入,1.95,600,1170.00,0.50,0.00
2021-10-12,中国银行,网格买入,2.03,500,1015.00,0.50,0.00
2021-10-12,建设银行,网格买入,4.33,200,866.00,0.50,0.00
2021-10-12,交通银行,网格买入,2.92,300,876.00,0.50,0.00
2021-10-12,交通银行,网格买入,2.91,300,873.00,0.50,0.00
2021-10-13,农业银行,网格买入,1.94,700,1358.00,0.50,0.00
2021-10-13,中国银行,网格买入,2.02,600,1212.00,0.50,0.00
2021-10-13,建设银行,网格买入,4.31,200,862.00,0.50,0.00
2021-10-13,建设银行,网格买入,4.29,300,1287.00,0.50,0.00
2021-10-13,建设银行,网格买入,4.27,300,1281.00,0.50,0.00
2021-10-13,建设银行,网格卖出,4.35,400,1740.00,1.37,0.00
2021-10-14,农业银行,网格买入,1.93,800,1544.00,0.50,0.00
2021-10-22,农业银行,网格卖出,1.96,1000,1960.00,1.48,0.00
2021-10-22,建设银行,网格买入,4.33,300,1299.00,0.50,0.00
2021-10-25,工商银行,网格买入,3.35,300,1005.00,0.50,0.00
2021-10-29,工商银行,再平衡卖出,3.32,200,664.00,0.83,0.00
2021-10-29,农业银行,再平衡卖出,1.92,900,1728.00,1.36,0.00
2021-10-29,中国银行,再平衡卖出,2.01,500,1005.00,1.00,0.00
2021-10-29,建设银行,再平衡卖出,4.19,400,1676.00,1.34,0.00
2021-10-29,交通银行,再平衡买入,2.88,100,288.00,0.50,0.00
2021-11-01,工商银行,网格卖出,3.37,300,1011.00,1.01,0.00
2021-11-01,农业银行,网格买入,1.91,600,1146.00,0.50,0.00
2021-11-01,农业银行,网格卖出,1.94,700,1358.00,1.18,0.00
2021-11-01,建设银行,网格买入,4.17,300,1251.00,0.50,0.00
2021-11-01,建设银行,网格卖出,4.23,300,1269.00,1.13,0.00
2021-11-01,交通银行,网格卖出,2.92,400,1168.00,1.08,0.00
2021-11-01,交通银行,网格卖出,2.96,300,888.00,0.94,0.00
2021-11-01,交通银行,网格卖出,3,300,900.00,0.95,0.00
2021-11-01,交通银行,网格卖出,3.05,200,610.00,0.80,0.00
2021-11-02,工商银行,网格买入,3.35,300,1005.00,0.50,0.00
2021-11-02,工商银行,网格买入,3.33,300,999.00,0.50,0.00
2021-11-02,工商银行,网格买入,3.31,400,1324.00,0.50,0.00
2021-11-02,工商银行,网格买入,3.29,500,1645.00,0.50,0.00
2021-11-02,工商银行,网格卖出,3.38,600,2028.00,1.51,0.00
2021-11-02,农业银行,网格买入,1.93,600,1158.00,0.50,0.00
2021-11-02,农业银行,网格买入,1.92,700,1344.00,0.50,0.00
2021-11-02,农业银行,网格买入,1.91,800,1528.00,0.50,0.00
2021-11-02,农业银行,网格买入,1.9,1000,1900.00,0.50,0.00
2021-11-02,农业银行,网格卖出,1.94,1200,2328.00,1.66,0.00
2021-11-02,中国银行,网格买入,2,600,1200.00,0.50,0.00
2021-11-02,建设银行,网格买入,4.21,300,1263.00,0.50,0.00
2021-11-02,交通银行,网格买入,3.03,200,606.00,0.50,0.00
2021-11-24,中国银行,网格卖出,2.03,700,1421.00,1.21,0.00
2021-11-24,建设银行,网格买入,4.08,300,1224.00,0.50,0.00
2021-11-30,工商银行,再平衡卖出,3.23,500,1615.00,1.31,0.00
2021-11-30,农业银行,再平衡卖出,1.89,1800,3402.00,2.20,0.00
2021-11-30,建设银行,再平衡卖出,4.02,600,2412.00,1.71,0.00
2021-11-30,交通银行,再平衡买入,2.93,1000,2930.00,0.50,0.00
2021-12-01,中国银行,网格买入,2,600,1200.00,0.50,0.00
2021-12-01,建设银行,网格买入,4,300,1200.00,0.50,0.00
2021-12-02,建设银行,网格卖出,4.06,300,1218.00,1.11,0.00
2021-12-02,交通银行,网格卖出,2.97,400,1188.00,1.09,0.00
2021-12-03,建设银行,网格买入,4.04,300,1212.00,0.50,0.00
2021-12-03,建设银行,网格买入,4.02,300,1206.00,0.50,0.00
2021-12-03,交通银行,网格买入,2.96,300,888.00,0.50,0.00
2021-12-06,工商银行,网格卖出,3.28,400,1312.00,1.16,0.00
2021-12-06,农业银行,网格卖出,1.92,600,1152.00,1.08,0.00
2021-12-06,建设银行,网格卖出,4.08,400,1632.00,1.32,0.00
2021-12-07,农业银行,网格买入,1.91,500,955.00,0.50,0.00
2021-12-07,建设银行,网格卖出,4.15,300,1245.00,1.12,0.00
2021-12-07,交通银行,网格卖出,3,400,1200.00,1.10,0.00
2021-12-08,建设银行,网格买入,4.13,300,1239.00,0.50,0.00
2021-12-08,建设银行,网格买入,4.11,300,1233.00,0.50,0.00
2021-12-08,交通银行,网格买入,2.99,300,897.00,0.50,0.00
2021-12-08,交通银行,网格买入,2.98,400,1192.00,0.50,0.00
2021-12-08,交通银行,网格买入,2.97,400,1188.00,0.50,0.00
2021-12-09,中国银行,网格卖出,2.03,700,1421.00,1.21,0.00
2021-12-09,建设银行,网格卖出,4.17,400,1668.00,1.33,0.00
2021-12-10,中国银行,网格买入,2.02,500,1010.00,0.50,0.00
2021-12-10,建设银行,网格买入,4.14,300,1242.00,0.50,0.00
2021-12-10,建设银行,网格买入,4.12,400,1648.00,0.50,0.00
2021-12-22,农业银行,网格卖出,1.94,600,1164.00,1.08,0.00
2021-12-22,中国银行,网格买入,2.01,600,1206.00,0.50,0.00
2021-12-28,交通银行,网格卖出,3.01,500,1505.00,1.25,0.00
2021-12-29,农业银行,网格买入,1.92,500,960.00,0.50,0.00
2021-12-31,中国银行,再平衡卖出,2.01,900,1809.00,1.40,0.00
2021-12-31,建设银行,再平衡卖出,4.12,800,3296.00,2.15,0.00
2021-12-31,交通银行,再平衡卖出,2.97,100,297.00,0.65,0.00
2021-12-31,工商银行,再平衡买入,3.28,400,1312.00,0.50,0.00
2021-12-31,农业银行,再平衡买入,1.92,200,384.00,0.50,0.00
2022-01-04,农业银行,网格买入,1.91,600,1146.00,0.50,0.00
2022-01-04,交通银行,网格买入,2.96,400,1184.00,0.50,0.00
2022-01-05,工商银行,网格卖出,3.33,400,1332.00,1.17,0.00
2022-01-05,农业银行,网格卖出,1.94,700,1358.00,1.18,0.00
2022-01-05,中国银行,网格卖出,2.04,600,1224.00,1.11,0.00
2022-01-05,建设银行,网格卖出,4.18,300,1254.00,1.13,0.00
2022-01-05,建设银行,网格卖出,4.24,200,848.00,0.92,0.00
2022-01-05,交通银行,网格卖出,3,500,1500.00,1.25,0.00
2022-01-06,中国银行,网格卖出,2.07,500,1035.00,1.02,0.00
2022-01-06,建设银行,网格卖出,4.3,200,860.00,0.93,0.00
2022-01-07,工商银行,网格卖出,3.38,300,1014.00,1.01,0.00
2022-01-07,农业银行,网格卖出,1.97,600,1182.00,1.09,0.00
2022-01-07,中国银行,网格买入,2.05,400,820.00,0.50,0.00
2022-01-07,中国银行,网格卖出,2.08,400,832.00,0.92,0.00
2022-01-07,建设银行,网格买入,4.28,100,428.00,0.50,0.00
2022-01-07,建设银行,网格卖出,4.34,200,868.00,0.93,0.00
2022-01-07,建设银行,网格卖出,4.41,100,441.00,0.72,0.00
2022-01-07,交通银行,网格卖出,3.05,400,1220.00,1.11,0.00
2022-01-07,交通银行,网格卖出,3.1,300,930.00,0.97,0.00
2022-01-10,农业银行,网格买入,1.96,500,980.00,0.50,0.00
2022-01-10,中国银行,网格买入,2.07,400,828.00,0.50,0.00
2022-01-10,中国银行,网格卖出,2.1,400,840.00,0.92,0.00
2022-01-10,建设银行,网格买入,4.39,100,439.00,0.50,0.00
2022-01-10,建设银行,网格买入,4.37,100,437.00,0.50,0.00
2022-01-10,建设银行,网格买入,4.35,100,435.00,0.50,0.00
2022-01-10,建设银行,网格卖出,4.42,200,884.00,0.94,0.00
2022-01-10,交通银行,网格买入,3.08,200,616.00,0.50,0.00
